generation,N_shifts,logPrior,logLik,eventRate,acceptRate
40040000,50,307.567,-28070.3,45.8144,0.3856
40045000,44,272.436,-28085,51.1298,0.402
40050000,46,286.949,-28091.2,51.8683,0.3962
40055000,45,292.249,-28086.1,55.7427,0.3976
40060000,44,275.322,-28092.5,38.5243,0.3994
40065000,39,249.285,-28101.8,38.1526,0.402
40070000,42,268.849,-28084.7,36.752,0.396
40075000,38,243.82,-28102.2,37.524,0.3886
40080000,33,224.23,-28097.1,40.3173,0.3854
40085000,32,215.006,-28094.2,25.3859,0.376
40090000,36,230.865,-28087.3,31.7738,0.3792
40095000,36,231.721,-28091.7,36.4479,0.3806
40100000,43,265.843,-28095.4,30.1617,0.3892
40105000,37,231.255,-28096.9,37.7836,0.3806
40110000,38,231.795,-28083,41.8292,0.3766
40115000,43,277.6,-28094.6,47.034,0.3724
40120000,41,271.876,-28087.6,35.0278,0.3864
40125000,43,273.664,-28063.5,35.7323,0.3898
40130000,39,246.158,-28072,44.5196,0.3876
40135000,45,280.275,-28075.1,51.8325,0.3688
40140000,50,321.274,-28077.1,54.7282,0.398
40145000,52,316.939,-28074.9,66.6066,0.3888
40150000,46,303.059,-28067.6,36.9463,0.4034
40155000,43,281.984,-28068.9,48.0204,0.3926
40160000,53,346.001,-28070.6,49.0837,0.3972
40165000,53,353.161,-28073.5,53.2633,0.4004
40170000,53,348.721,-28076.5,57.5901,0.4086
40175000,51,336.379,-28059.2,44.6521,0.3966
40180000,55,348.77,-28072.2,43.8675,0.4018
40185000,49,309.399,-28072.1,53.1248,0.4038
40190000,49,302.176,-28066.7,49.5178,0.4042
40195000,56,339.385,-28061.7,53.8647,0.3872
40200000,56,352.106,-28060.5,54.6247,0.4042
40205000,56,349.594,-28041.1,46.5548,0.3988
40210000,55,346.448,-28057,57.2561,0.3944
40215000,66,425.623,-28040.9,73.9151,0.4048
40220000,64,408.105,-28046.3,59.4074,0.4098
40225000,67,401.785,-28061.1,56.2554,0.4068
40230000,61,368.163,-28058,61.3239,0.4054
40235000,71,423.585,-28058.1,75.8412,0.41
40240000,72,432.591,-28051.5,61.4906,0.4034
40245000,68,418.095,-28052,64.5352,0.4066
40250000,55,333.897,-28068.5,69.2538,0.4156
40255000,58,358.452,-28059.2,42.6559,0.3874
40260000,59,351.639,-28057.9,47.6649,0.3956
40265000,57,352.554,-28048.5,50.9601,0.4068
40270000,59,362.372,-28059.1,60.9733,0.4052
40275000,68,421.648,-28065.3,85.1791,0.416
40280000,81,505.928,-28071.3,59.3848,0.4344
40285000,71,441.656,-28047.8,74.1018,0.4108
40290000,62,370.786,-28064.6,46.9682,0.402
40295000,63,375.601,-28074.9,70.2691,0.4086
40300000,56,331.216,-28074.4,52.3377,0.4052
40305000,53,328.051,-28063.7,44.8235,0.3922
40310000,52,317.351,-28065.5,49.2883,0.3876
40315000,48,294.415,-28069.6,42.8922,0.391
40320000,45,279.362,-28061.9,33.9122,0.3872
40325000,46,287.104,-28074.4,53.0454,0.3846
40330000,44,265.554,-28069.6,50.4701,0.3972
40335000,43,259.97,-28073,47.2878,0.3964
40340000,41,255.11,-28073.4,30.8111,0.3948
40345000,42,258.997,-28065.9,38.2576,0.3788
40350000,46,288.744,-28063.6,46.4573,0.403
40355000,46,287.432,-28052.6,41.9163,0.3886
40360000,43,270.744,-28066.1,54.4869,0.3718
40365000,46,283.819,-28056.7,40.8862,0.39
40370000,42,270.28,-28067.7,42.217,0.3886
40375000,45,291.679,-28068.6,61.1864,0.399
40380000,51,327.83,-28057.4,42.4465,0.4002
40385000,58,354.47,-28067.8,56.8881,0.4108
40390000,54,331.655,-28042.9,62.4169,0.3978
40395000,65,406.131,-28062,64.7679,0.3994
40400000,59,361.251,-28067.9,54.0485,0.4104
40405000,49,306.606,-28045.7,47.0506,0.3786
40410000,46,277.917,-28064.4,39.826,0.3798
40415000,41,253.1,-28061,44.7432,0.3864
40420000,39,256.627,-28060.8,35.0683,0.3578
40425000,45,295.064,-28063.9,58.4411,0.3824
40430000,42,258.74,-28055.8,43.618,0.3796
40435000,42,267.126,-28041.4,41.3894,0.3736
40440000,44,289.705,-28061.3,44.1442,0.3874
40445000,38,246.408,-28056.2,45.1926,0.3658
40450000,45,294.121,-28060.3,33.1098,0.3726
40455000,45,275.509,-28065.7,43.6418,0.3902
40460000,49,306.925,-28054.3,52.223,0.3894
40465000,50,318.148,-28062.9,70.1223,0.3766
40470000,48,294.622,-28057.6,43.2121,0.3828
40475000,45,292.53,-28059.1,46.7424,0.3896
40480000,48,298.154,-28064.8,49.748,0.3966
40485000,55,362.349,-28047.4,48.5948,0.3892
40490000,56,368.429,-28034.4,52.6046,0.3966
40495000,51,325.904,-28044.9,58.2635,0.387
40500000,58,380.482,-28047,61.4762,0.3852
40505000,57,349.685,-28049.6,50.5819,0.4148
40510000,58,349.049,-28035.6,69.4755,0.404
40515000,65,392.599,-28029.5,68.4696,0.414
40520000,62,374.268,-28025,79.528,0.3808
40525000,62,379.181,-28031.6,71.915,0.387
40530000,65,396.777,-28044.2,71.7843,0.4036
40535000,55,348.782,-28048.8,78.0208,0.3898
40540000,55,308.644,-28066.5,60.6099,0.3988
40545000,48,291.739,-28059.2,52.6469,0.3814
40550000,54,327.953,-28038.9,42.9711,0.39
40555000,56,334.651,-28055,67.8906,0.3902
40560000,52,306.696,-28052.1,55.3659,0.3936
40565000,43,272.371,-28054.6,54.3236,0.378
40570000,43,273.745,-28055.4,45.3252,0.3742
40575000,49,309.906,-28066.1,39.4326,0.378
40580000,53,330.779,-28057.5,70.9557,0.3708
40585000,54,332.655,-28059.1,54.6986,0.3824
40590000,43,282.536,-28050.8,38.0911,0.3986
40595000,39,244.124,-28056,39.1637,0.357
40600000,45,280.208,-28046.8,38.4639,0.3716
40605000,42,268.444,-28063.7,32.7637,0.3616
40610000,43,266.111,-28052,28.459,0.3586
40615000,45,283.125,-28045.9,33.0964,0.3758
40620000,49,306.461,-28060.1,39.3432,0.378
40625000,49,299.809,-28053.8,43.7888,0.3936
40630000,54,348.443,-28068.8,47.167,0.4004
40635000,56,344.455,-28066.9,55.0156,0.4052
40640000,56,356.595,-28073.7,55.1393,0.3928
40645000,50,324.208,-28066.1,57.7049,0.404
40650000,51,321.397,-28058.3,47.2919,0.3976
40655000,53,331.101,-28052,50.763,0.3924
40660000,49,299.008,-28062.3,46.8614,0.3922
40665000,51,316.125,-28045.6,55.5785,0.3802
40670000,55,323.112,-28044.5,52.7866,0.4078
40675000,54,326.242,-28045.2,52.7098,0.3804
40680000,49,301.839,-28024.8,42.4157,0.3964
40685000,56,364.405,-28031.8,55.1323,0.3888
40690000,50,308.334,-28041.1,58.0166,0.3894
40695000,54,336.017,-28027.5,68.4283,0.3926
40700000,64,404.095,-28039.7,67.2477,0.4046
40705000,68,418.303,-28023.5,76.7466,0.4126
40710000,68,431.179,-28010,66.9432,0.4104
40715000,66,413.515,-28026.3,61.503,0.3994
40720000,73,454.309,-28046.8,91.2385,0.3924
40725000,54,334.786,-28028.5,54.3301,0.402
40730000,72,449.296,-28039.3,71.1764,0.3988
40735000,61,387.262,-28049.4,58.1743,0.412
40740000,51,319.263,-28042.9,51.9634,0.3952
40745000,45,282.317,-28042,49.138,0.3708
40750000,45,293.026,-28043.4,37.5599,0.3858
40755000,50,316.25,-28047.6,48.7173,0.386
40760000,55,352.052,-28053.7,63.6916,0.3982
40765000,61,377.305,-28050.3,63.8478,0.4054
40770000,53,331.532,-28077,46.8299,0.4006
40775000,50,320.031,-28079.5,64.8807,0.406
40780000,50,310.568,-28078.3,35.9567,0.4044
40785000,52,327.051,-28081,48.2948,0.4004
40790000,45,291.797,-28069.7,33.5917,0.3958
40795000,47,297.97,-28077.8,46.5438,0.4032
40800000,39,257.217,-28080.1,30.1325,0.3888
40805000,32,211.282,-28088.4,32.7465,0.3886
40810000,30,202.508,-28085.6,28.2602,0.3548
40815000,36,244.944,-28102.9,32.5817,0.3726
40820000,41,275.81,-28098.4,45.2654,0.3882
40825000,42,277.256,-28099.7,41.6922,0.3898
40830000,44,273.843,-28095.9,41.8869,0.4096
40835000,53,313.13,-28098.9,55.0115,0.4088
40840000,37,245.41,-28113,39.1687,0.4224
40845000,34,229.412,-28099.9,48.3333,0.3912
40850000,33,222.915,-28093.6,26.7226,0.3674
40855000,29,199.358,-28088.9,31.9925,0.3464
40860000,44,297.609,-28068.6,36.6316,0.4032
40865000,43,267.196,-28096.8,50.6501,0.4042
40870000,43,271.992,-28088.3,36.7189,0.3798
40875000,42,273.256,-28095.3,48.9659,0.4022
40880000,36,245.571,-28095.7,34.8578,0.4066
40885000,34,224.123,-28083.4,26.1262,0.3924
40890000,28,187.728,-28100,25.4088,0.3658
40895000,29,201.863,-28102.8,23.3935,0.3582
40900000,34,225.281,-28093.9,41.1652,0.3738
40905000,37,233.436,-28088.3,45.0295,0.3888
40910000,34,219.928,-28091.1,37.3358,0.3652
40915000,38,247.151,-28081.4,60.1859,0.3872
40920000,48,308.855,-28099.4,58.9507,0.3894
40925000,48,300.432,-28100.6,41.2837,0.4006
40930000,40,257.945,-28110.8,49.3376,0.393
40935000,40,263.261,-28109.6,32.7735,0.3784
40940000,44,291.098,-28084.9,42.6733,0.3902
40945000,38,251.252,-28081.1,43.3569,0.38
40950000,36,241.119,-28083.9,36.5995,0.3524
40955000,39,259.759,-28086.5,46.6167,0.3702
40960000,42,273.21,-28093.8,46.4088,0.3692
40965000,43,280.252,-28090.6,42.8635,0.3776
40970000,39,254.294,-28077.9,29.1923,0.3668
40975000,30,194.487,-28074.6,28.5923,0.3554
40980000,39,253.694,-28083.3,39.3755,0.364
40985000,41,275.329,-28087.8,29.7697,0.391
40990000,44,285.842,-28082.5,44.3879,0.384
40995000,45,290.898,-28089.9,51.5068,0.4162
41000000,45,298.482,-28093.6,49.343,0.404
41005000,48,309.17,-28100,43.8855,0.405
41010000,35,223.368,-28100.9,35.4342,0.405
41015000,45,283.278,-28101.4,47.158,0.3976
41020000,44,272.524,-28107,41.0151,0.4018
41025000,38,258.825,-28102.9,34.4888,0.398
41030000,56,369.91,-28104.2,54.4898,0.4104
41035000,55,344.216,-28106.3,55.5087,0.4316
41040000,45,290.788,-28098.2,38.089,0.4104
41045000,59,376.147,-28090.2,50.311,0.4194
41050000,47,311.576,-28100.8,49.6086,0.4208
41055000,44,276.251,-28080,46.1692,0.408
41060000,39,252.128,-28077.7,41.8085,0.3784
41065000,44,292.47,-28089.2,50.4387,0.3894
41070000,40,261.009,-28085.7,29.1856,0.4058
41075000,43,282.515,-28094.1,35.9938,0.3898
41080000,40,268.232,-28091,39.45,0.4018
41085000,42,270.108,-28089.8,46.8762,0.39
41090000,41,268.096,-28077,45.3763,0.4074
41095000,44,280.194,-28069.4,42.7896,0.402
41100000,40,261.039,-28053,49.1745,0.3788
41105000,44,275.857,-28064.4,33.0881,0.368
41110000,43,268.338,-28082.5,33.315,0.3896
41115000,49,307.542,-28073.7,38.2937,0.4094
41120000,46,299.308,-28081.9,52.0908,0.4048
41125000,41,252.76,-28084.6,44.4384,0.3948
41130000,41,259.476,-28071.6,40.5179,0.386
41135000,46,289.213,-28071.9,49.8419,0.3872
41140000,56,367.024,-28072.2,54.5333,0.412
41145000,55,343.174,-28070.6,50.9315,0.4004
41150000,58,356.499,-28071.7,48.4732,0.4184
41155000,54,347.008,-28071.9,51.4286,0.4172
41160000,52,336.98,-28088.1,51.2723,0.411
41165000,55,332.167,-28088.3,56.1172,0.4064
41170000,41,263.75,-28080.2,23.2759,0.3932
41175000,42,269.719,-28074.5,33.3058,0.3986
41180000,38,230.508,-28074.7,40.5033,0.3862
41185000,51,320.376,-28080.2,61.1971,0.3968
41190000,53,341.996,-28076.9,70.043,0.4012
41195000,59,376.437,-28069.9,50.1425,0.4002
41200000,55,346.147,-28089.4,47.5111,0.3946
41205000,56,350.76,-28066.1,54.409,0.4008
41210000,56,344.591,-28082.4,61.4627,0.4152
41215000,58,364.813,-28061.1,57.2352,0.4194
41220000,53,342.46,-28060.6,47.5823,0.396
41225000,49,319.574,-28055.8,53.9442,0.379
41230000,51,334.277,-28047.9,62.762,0.4028
41235000,55,346.057,-28054,58.413,0.4012
41240000,48,297.646,-28057,44.8861,0.3932
41245000,47,302.88,-28062.9,44.7218,0.3972
41250000,42,274.598,-28044.1,35.2592,0.3826
41255000,46,301.223,-28059.4,70.2954,0.3772
41260000,52,333.942,-28083.2,54.2373,0.3998
41265000,59,363.345,-28052.1,62.0693,0.405
41270000,61,380.651,-28052.8,55.7335,0.4096
41275000,68,429.175,-28057.9,76.0726,0.429
41280000,72,451.687,-28043.4,73.0657,0.4224
41285000,60,367.102,-28049.3,63.0618,0.4142
41290000,52,327.547,-28051.1,52.6635,0.3772
41295000,56,341.799,-28062.6,45.7679,0.3942
41300000,54,333.982,-28041.9,55.8944,0.3888
41305000,55,337.748,-28045.2,58.769,0.4014
41310000,54,328.83,-28038.1,44.1926,0.3836
41315000,49,308.501,-28069.3,51.4759,0.3724
41320000,50,330.23,-28049.2,69.3068,0.3802
41325000,54,349.507,-28069.6,45.9054,0.3836
41330000,47,302.484,-28058.3,41.1725,0.3838
41335000,58,357.351,-28052.3,53.3517,0.3816
41340000,62,386.624,-28063.9,54.1726,0.4084
41345000,61,387.687,-28047.8,57.3857,0.385
41350000,56,356.227,-28068.5,65.8104,0.3866
41355000,45,277.216,-28054.2,31.6481,0.3752
41360000,46,281.263,-28067.1,42.4099,0.3728
41365000,47,280.071,-28069.1,54.6583,0.377
41370000,54,322.385,-28077.6,55.5547,0.3954
41375000,50,320.187,-28048,54.8593,0.3908
41380000,50,313.481,-28048.1,51.505,0.397
41385000,53,337.967,-28065,42.229,0.3964
41390000,65,399.402,-28059.8,62.2447,0.3966
41395000,50,315.436,-28065.5,52.2153,0.4066
41400000,51,319.202,-28050.9,35.2274,0.386
41405000,54,334.964,-28055.4,52.1183,0.3866
41410000,52,330.904,-28065,58.0763,0.3816
41415000,53,339.036,-28054.5,43.2415,0.385
41420000,47,294.693,-28052,48.7384,0.3738
41425000,50,307.831,-28056.9,48.0748,0.3846
41430000,47,295.706,-28057.4,37.3456,0.3906
41435000,49,308.115,-28058.2,43.7741,0.3794
41440000,47,295.499,-28049.1,47.0075,0.3732
41445000,51,309.746,-28061,46.2413,0.393
41450000,46,284.177,-28054,43.7724,0.387
41455000,49,307.536,-28061.8,45.1016,0.373
41460000,50,309.539,-28051.3,49.2367,0.3956
41465000,50,305.369,-28062.9,60.0202,0.4092
41470000,51,316.187,-28048.3,62.7944,0.3982
41475000,47,293.799,-28055.7,46.5795,0.3858
41480000,48,292.657,-28042.8,43.5933,0.4016
41485000,43,266.498,-28062.8,45.2734,0.3802
41490000,46,299.117,-28061.4,44.3027,0.3828
41495000,40,252.038,-28056,42.2582,0.3768
41500000,35,212.382,-28054.4,33.9438,0.3792
41505000,48,308.345,-28049.5,41.2131,0.3828
41510000,60,388.05,-28052.8,64.8447,0.4182
41515000,50,318.125,-28060.1,62.6862,0.399
41520000,51,311.646,-28039.7,47.2595,0.3874
41525000,54,337.285,-28050.4,66.9304,0.3992
41530000,60,372.781,-28045.2,70.6646,0.3972
41535000,52,324.88,-28052.1,53.1253,0.4016
41540000,53,323.949,-28046.6,36.0232,0.3892
41545000,42,260.395,-28055.9,47.043,0.3856
41550000,38,236.162,-28063.8,34.5141,0.3512
41555000,40,253.27,-28057,42.6512,0.3484
41560000,42,262.178,-28073.2,48.7847,0.3878
41565000,45,279.595,-28061.3,39.1071,0.378
41570000,40,260.134,-28057.3,33.6825,0.3712
41575000,54,350.923,-28067.4,59.222,0.371
41580000,39,256.378,-28061.4,39.7374,0.3852
41585000,42,272.114,-28081.2,59.492,0.3868
41590000,38,235.404,-28072.8,35.7145,0.374
41595000,44,281.309,-28092.9,48.8406,0.3888
41600000,40,251.922,-28082,36.5279,0.388
41605000,44,290.909,-28067.5,36.6336,0.3834
41610000,44,288.648,-28076.9,39.1225,0.3864
41615000,40,259.226,-28070.7,41.578,0.3832
41620000,41,252.107,-28077.5,50.4729,0.39
41625000,38,243.724,-28076.2,31.2136,0.3886
41630000,40,243.838,-28076.1,52.8662,0.3742
41635000,41,262.764,-28081.5,37.2123,0.367
41640000,45,275.184,-28090,51.0774,0.3854
41645000,54,349.805,-28087.6,55.62,0.3958
41650000,48,287.525,-28084.1,57.8147,0.3958
41655000,48,296.826,-28076.4,41.0492,0.3978
41660000,48,287.834,-28074.2,43.9242,0.391
41665000,40,260.537,-28083.6,35.5259,0.3852
41670000,50,313.395,-28092.5,61.8146,0.3958
41675000,56,353.824,-28086.5,60.606,0.3998
41680000,49,306.016,-28083,42.4504,0.4078
41685000,49,310.084,-28095.1,41.9589,0.399
41690000,45,276.067,-28077.9,40.2063,0.4118
41695000,49,314.237,-28069.4,41.1457,0.4068
41700000,46,296.516,-28092.6,58.0779,0.405
41705000,49,305.016,-28071.3,49.8611,0.403
41710000,49,310.23,-28082.7,54.0285,0.3848
41715000,52,328.19,-28093.5,50.8537,0.39
41720000,54,345.014,-28082.4,49.2312,0.4044
41725000,50,321.685,-28103,47.1593,0.3918
41730000,40,255.407,-28084.1,42.4668,0.3968
41735000,49,306.537,-28076.9,37.9177,0.3956
41740000,55,349.779,-28081.4,43.5081,0.4146
41745000,52,329.648,-28083,51.9501,0.4028
41750000,49,314.076,-28089.8,47.4381,0.404
41755000,45,295.042,-28071.3,40.3985,0.41
41760000,41,268.99,-28076.2,43.542,0.3854
41765000,37,236.957,-28082.6,45.6253,0.378
41770000,39,251.653,-28086.9,38.26,0.3748
41775000,36,230.906,-28089.3,38.4693,0.3686
41780000,34,214.853,-28101.4,44.02,0.3632
41785000,41,261.843,-28075.2,39.8728,0.3768
41790000,45,285.008,-28075.2,35.9408,0.4162
41795000,43,269.425,-28079.6,43.4545,0.3962
41800000,40,246.897,-28057.9,31.7779,0.3958
41805000,42,249.207,-28043.3,46.7008,0.371
41810000,50,315.859,-28064.1,53.027,0.403
41815000,54,308.006,-28043.3,65.5212,0.406
41820000,47,297.751,-28057,46.7756,0.3794
41825000,40,258.221,-28061.6,46.4455,0.3766
41830000,34,217.705,-28048.2,35.2832,0.352
41835000,41,255.344,-28053.4,51.6365,0.3594
41840000,43,272.904,-28052.6,42.804,0.401
41845000,45,282.305,-28058.5,40.85,0.388
41850000,53,332.15,-28066.5,50.0386,0.3898
41855000,48,305.938,-28072.5,44.0321,0.401
41860000,56,355.337,-28069.1,47.5526,0.3958
41865000,56,358.545,-28070.8,51.904,0.4094
41870000,49,300.496,-28073,63.9587,0.4266
41875000,46,283.583,-28073.7,37.9171,0.406
41880000,44,280.184,-28066.7,44.207,0.3892
41885000,38,245.452,-28070.2,41.5316,0.3968
41890000,47,300.435,-28067.9,41.6016,0.367
41895000,45,287.746,-28066.6,42.9147,0.3996
41900000,42,268.982,-28059.9,45.1348,0.3826
41905000,33,215.005,-28055.7,32.6702,0.37
41910000,37,242.971,-28062.8,29.4329,0.3646
41915000,36,234.854,-28070.7,28.6661,0.3718
41920000,36,234.277,-28068.7,37.0027,0.3884
41925000,34,215.461,-28082,41.0046,0.3646
41930000,46,285.576,-28064.1,42.9647,0.3804
41935000,44,278.694,-28086.5,50.9348,0.3818
41940000,40,245.705,-28071.8,36.6854,0.3848
41945000,47,282.308,-28054,42.4168,0.377
41950000,49,302.479,-28062.3,39.8912,0.3888
41955000,41,247.846,-28068.6,41.7933,0.3718
41960000,49,300.262,-28060.6,47.2078,0.3864
41965000,48,296.28,-28059.3,49.403,0.3716
41970000,46,287.628,-28074.7,38.7997,0.3756
41975000,45,280.901,-28068.7,38.1286,0.3852
41980000,48,309.131,-28070.4,50.7972,0.3682
41985000,47,303.611,-28086.4,48.7623,0.3944
41990000,48,305.229,-28090.9,41.9206,0.4026
41995000,43,262.647,-28087.5,34.1992,0.3952
42000000,47,279.42,-28083.6,41.047,0.3848
42005000,48,309.754,-28083.9,47.1378,0.3826
42010000,50,309.576,-28100.1,43.3164,0.4186
42015000,47,302.61,-28089.8,59.0953,0.4002
42020000,46,286.953,-28068.1,52.147,0.3876
42025000,47,293.548,-28071,38.3768,0.3864
42030000,44,284.697,-28078,40.5856,0.3896
42035000,49,311.728,-28095.5,41.2967,0.4088
42040000,38,247.557,-28079.3,32.9818,0.382
42045000,43,272.803,-28085.5,38.9445,0.3624
42050000,51,327.395,-28096.8,47.5963,0.3814
42055000,49,315.235,-28075.1,57.4129,0.3882
