generation,N_shifts,logPrior,logLik,eventRate,acceptRate
640000,19,86.622,-18724.7,7.66459,0.3604
645000,17,74.554,-18722.4,7.87225,0.324
650000,19,82.0311,-18718.8,9.29111,0.3384
655000,18,76.848,-18720.4,8.42221,0.3498
660000,19,87.1307,-18714.1,11.646,0.3442
665000,14,61.9266,-18722.8,8.2986,0.3508
670000,18,88.5422,-18727.4,8.47899,0.3354
675000,15,73.5727,-18731.1,5.8733,0.3288
680000,16,78.6617,-18729.3,10.7649,0.3272
685000,20,107.809,-18733.5,8.95474,0.3394
690000,18,96.652,-18729.1,10.0477,0.3494
695000,21,105.205,-18727.1,8.8822,0.351
700000,18,84.9702,-18738.4,7.80424,0.3391
705000,20,104.815,-18743.1,7.66986,0.3454
710000,22,120.005,-18725,9.74222,0.345267
715000,17,78.9622,-18735.5,9.48713,0.3563
720000,21,105.833,-18737.7,11.7624,0.3383
725000,19,94.4754,-18716.8,9.80978,0.3376
730000,23,117.061,-18720.1,11.9767,0.3298
735000,29,153.788,-18716.1,13.8219,0.3612
740000,35,184.381,-18735.9,16.7047,0.3788
745000,27,115.321,-18714.1,14.3029,0.3806
750000,24,118.754,-18716.7,9.71964,0.3622
755000,21,107.709,-18701.9,9.7991,0.356
760000,24,121.752,-18720,12.6284,0.3362
765000,29,143.836,-18694.7,15.2981,0.3828
770000,23,107.218,-18691.5,13.2119,0.3362
775000,21,83.1571,-18710,10.8747,0.3324
780000,21,88.876,-18720.7,12.1259,0.3562
785000,22,95.3149,-18718.9,8.66393,0.3378
790000,21,93.7349,-18713.5,11.2809,0.3208
795000,22,100.81,-18723.7,12.9714,0.3444
800000,19,87.3198,-18730,9.91925,0.3466
805000,19,95.9052,-18725.6,8.09925,0.3212
810000,21,103.543,-18706.7,10.7334,0.3268
815000,21,102.773,-18727.7,10.0338,0.335
820000,18,85.6182,-18714.4,7.61899,0.3258
825000,19,84.2208,-18720.2,11.1805,0.3432
830000,20,97.4348,-18713,9.27509,0.3244
835000,24,121.854,-18705.9,11.0578,0.3448
840000,24,131.327,-18720.1,10.6176,0.3548
845000,17,79.4768,-18713.3,9.3657,0.3472
850000,18,81.615,-18719.1,7.87637,0.3378
855000,21,80.3516,-18702.7,9.09277,0.345
860000,22,97.5188,-18714.3,9.5231,0.358
865000,18,73.4962,-18707.5,10.7107,0.36
870000,22,101.815,-18709,8.19418,0.3744
875000,20,77.9822,-18707.3,7.40971,0.3524
