"","lambda_ClaDS","tiplabel"
"Werneria_bambutensis",0.0675821767688159,"Werneria_bambutensis"
"Wolterstorffina_chirioi",0.0699641031411394,"Wolterstorffina_chirioi"
"Wolterstorffina_mirei",0.0685129724436028,"Wolterstorffina_mirei"
"Wolterstorffina_parvipalmata",0.0677669246442599,"Wolterstorffina_parvipalmata"
"Pedostibes_kempi",0.0635826312729646,"Pedostibes_kempi"
"Didynamipus_sjostedti",0.0655819953610559,"Didynamipus_sjostedti"
"Nimbaphrynoides_occidentalis",0.065221333961174,"Nimbaphrynoides_occidentalis"
"Nectophryne_batesii",0.0643840911106142,"Nectophryne_batesii"
"Nectophryne_afra",0.0664502303692484,"Nectophryne_afra"
"Leptophryne_cruentata",0.0653536920421895,"Leptophryne_cruentata"
"Leptophryne_borbonica",0.0638645471826075,"Leptophryne_borbonica"
"Epidalea_calamita",0.0679076508429883,"Epidalea_calamita"
"Duttaphrynus_mamitensis",0.12690889359551,"Duttaphrynus_mamitensis"
"Duttaphrynus_nagalandensis",0.130458864816669,"Duttaphrynus_nagalandensis"
"Duttaphrynus_mizoramensis",0.12426353951363,"Duttaphrynus_mizoramensis"
"Duttaphrynus_chandai",0.128254719563297,"Duttaphrynus_chandai"
"Duttaphrynus_melanostictus",0.135268812807139,"Duttaphrynus_melanostictus"
"Duttaphrynus_dodsoni",0.130682186291022,"Duttaphrynus_dodsoni"
"Duttaphrynus_parietalis",0.119642715873147,"Duttaphrynus_parietalis"
"Duttaphrynus_brevirostris",0.108509291065491,"Duttaphrynus_brevirostris"
"Duttaphrynus_silentvalleyensis",0.121401188126523,"Duttaphrynus_silentvalleyensis"
"Duttaphrynus_kotagamai",0.11698821050844,"Duttaphrynus_kotagamai"
"Duttaphrynus_scaber",0.119861378655874,"Duttaphrynus_scaber"
"Duttaphrynus_atukoralei",0.125183888333714,"Duttaphrynus_atukoralei"
"Duttaphrynus_scorteccii",0.119621043209005,"Duttaphrynus_scorteccii"
"Duttaphrynus_himalayanus",0.113457364461739,"Duttaphrynus_himalayanus"
"Duttaphrynus_kiphirensis",0.103883731570636,"Duttaphrynus_kiphirensis"
"Duttaphrynus_sumatranus",0.105947081695691,"Duttaphrynus_sumatranus"
"Duttaphrynus_noellerti",0.101837746966013,"Duttaphrynus_noellerti"
"Duttaphrynus_cyphosus",0.100076084378521,"Duttaphrynus_cyphosus"
"Duttaphrynus_beddomii",0.103235392387407,"Duttaphrynus_beddomii"
"Duttaphrynus_olivaceus",0.101967192021209,"Duttaphrynus_olivaceus"
"Duttaphrynus_wokhaensis",0.0947987652051683,"Duttaphrynus_wokhaensis"
"Duttaphrynus_valhallae",0.0986761877761239,"Duttaphrynus_valhallae"
"Duttaphrynus_stuarti",0.10364355511571,"Duttaphrynus_stuarti"
"Duttaphrynus_crocus",0.107928803022809,"Duttaphrynus_crocus"
"Duttaphrynus_microtympanum",0.0976764413301565,"Duttaphrynus_microtympanum"
"Duttaphrynus_stomaticus",0.105266165553941,"Duttaphrynus_stomaticus"
"Duttaphrynus_totol",0.10535740814761,"Duttaphrynus_totol"
"Duttaphrynus_manipurensis",0.102480913680392,"Duttaphrynus_manipurensis"
"Duttaphrynus_hololius",0.102543950851573,"Duttaphrynus_hololius"
"Duttaphrynus_dhufarensis",0.0976684923483732,"Duttaphrynus_dhufarensis"
"Xanthophryne_tigerina",0.0966699196035591,"Xanthophryne_tigerina"
"Xanthophryne_koynayensis",0.0923639524781847,"Xanthophryne_koynayensis"
"Adenomus_dasi",0.0906732298700573,"Adenomus_dasi"
"Adenomus_kelaartii",0.0889944798345172,"Adenomus_kelaartii"
"Adenomus_kandianus",0.089288760577776,"Adenomus_kandianus"
"Pedostibes_tuberculosus",0.0897417696912068,"Pedostibes_tuberculosus"
"Nectophrynoides_poyntoni",0.118207177929848,"Nectophrynoides_poyntoni"
"Nectophrynoides_laevis",0.126712094316064,"Nectophrynoides_laevis"
"Nectophrynoides_minutus",0.123556963364998,"Nectophrynoides_minutus"
"Nectophrynoides_frontierei",0.125030790019758,"Nectophrynoides_frontierei"
"Nectophrynoides_cryptus",0.114705955860818,"Nectophrynoides_cryptus"
"Nectophrynoides_tornieri",0.111355659657487,"Nectophrynoides_tornieri"
"Nectophrynoides_wendyae",0.107449120984126,"Nectophrynoides_wendyae"
"Nectophrynoides_viviparus",0.111934080151834,"Nectophrynoides_viviparus"
"Nectophrynoides_pseudotornieri",0.112872998375138,"Nectophrynoides_pseudotornieri"
"Nectophrynoides_vestergaardi",0.118558419307313,"Nectophrynoides_vestergaardi"
"Nectophrynoides_paulae",0.106156061617918,"Nectophrynoides_paulae"
"Nectophrynoides_laticeps",0.104090035851962,"Nectophrynoides_laticeps"
"Nectophrynoides_asperginis",0.103076105168101,"Nectophrynoides_asperginis"
"Churamiti_maridadi",0.09555786300877,"Churamiti_maridadi"
"Pedostibes_everetti",0.0870084789356204,"Pedostibes_everetti"
"Schismaderma_carens",0.0851525912383098,"Schismaderma_carens"
"Bufotes_pseudoraddei",0.0967109130487792,"Bufotes_pseudoraddei"
"Bufotes_baturae",0.107236835406531,"Bufotes_baturae"
"Bufotes_viridis",0.109394833573281,"Bufotes_viridis"
"Bufotes_turanensis",0.100855576493888,"Bufotes_turanensis"
"Bufotes_variabilis",0.100960955966056,"Bufotes_variabilis"
"Bufotes_balearicus",0.100654981929647,"Bufotes_balearicus"
"Bufotes_pewzowi",0.0988277913443174,"Bufotes_pewzowi"
"Bufotes_oblongus",0.0985972684686153,"Bufotes_oblongus"
"Bufotes_zugmayeri",0.101421770950692,"Bufotes_zugmayeri"
"Bufotes_boulengeri",0.0919740633131997,"Bufotes_boulengeri"
"Bufotes_shaartusiensis",0.0893063396049979,"Bufotes_shaartusiensis"
"Bufotes_siculus",0.0945565697962247,"Bufotes_siculus"
"Bufotes_surdus",0.0783952726264181,"Bufotes_surdus"
"Bufotes_zamdaensis",0.0833416413646701,"Bufotes_zamdaensis"
"Bufotes_latastii",0.0849169140820616,"Bufotes_latastii"
"Bufotes_luristanicus",0.0812368192126194,"Bufotes_luristanicus"
"Amietophrynus_kassasii",0.0674480218511577,"Amietophrynus_kassasii"
"Amietophrynus_chudeaui",0.0635827537858528,"Amietophrynus_chudeaui"
"Amietophrynus_channingi",0.067608773612593,"Amietophrynus_channingi"
"Amietophrynus_taiensis",0.0684468373806748,"Amietophrynus_taiensis"
"Amietophrynus_danielae",0.0658481677072532,"Amietophrynus_danielae"
"Amietophrynus_lemairii",0.0686913616057956,"Amietophrynus_lemairii"
"Amietophrynus_funereus",0.066860548466107,"Amietophrynus_funereus"
"Amietophrynus_cristiglans",0.0708120703894922,"Amietophrynus_cristiglans"
"Amietophrynus_rangeri",0.0646167902902935,"Amietophrynus_rangeri"
"Amietophrynus_reesi",0.0678056592828826,"Amietophrynus_reesi"
"Amietophrynus_togoensis",0.0671108203991558,"Amietophrynus_togoensis"
"Amietophrynus_brauni",0.0625671593358107,"Amietophrynus_brauni"
"Amietophrynus_poweri",0.0663267479093284,"Amietophrynus_poweri"
"Amietophrynus_villiersi",0.0677860490756088,"Amietophrynus_villiersi"
"Amietophrynus_vittatus",0.0673572916747082,"Amietophrynus_vittatus"
"Amietophrynus_pantherinus",0.0637880336606994,"Amietophrynus_pantherinus"
"Amietophrynus_pardalis",0.0652648378395377,"Amietophrynus_pardalis"
"Amietophrynus_superciliaris",0.0696297687780597,"Amietophrynus_superciliaris"
"Amietophrynus_steindachneri",0.0696867985489762,"Amietophrynus_steindachneri"
"Amietophrynus_fuliginatus",0.0814284315993857,"Amietophrynus_fuliginatus"
"Amietophrynus_buchneri",0.0798643557171195,"Amietophrynus_buchneri"
"Amietophrynus_gracilipes",0.0741396449830799,"Amietophrynus_gracilipes"
"Amietophrynus_blanfordii",0.0811399991215569,"Amietophrynus_blanfordii"
"Amietophrynus_kisoloensis",0.0786534158957687,"Amietophrynus_kisoloensis"
"Amietophrynus_camerunensis",0.071582703038829,"Amietophrynus_camerunensis"
"Amietophrynus_latifrons",0.0729179552322527,"Amietophrynus_latifrons"
"Amietophrynus_djohongensis",0.0721463320428708,"Amietophrynus_djohongensis"
"Amietophrynus_xeros",0.0752755925147505,"Amietophrynus_xeros"
"Amietophrynus_garmani",0.0712809221510367,"Amietophrynus_garmani"
"Amietophrynus_gutturalis",0.071040150113841,"Amietophrynus_gutturalis"
"Amietophrynus_asmarae",0.0713785683405469,"Amietophrynus_asmarae"
"Amietophrynus_urunguensis",0.0723898050878037,"Amietophrynus_urunguensis"
"Amietophrynus_kerinyagae",0.0717422953578984,"Amietophrynus_kerinyagae"
"Amietophrynus_regularis",0.0737406441874772,"Amietophrynus_regularis"
"Amietophrynus_perreti",0.0750092097230571,"Amietophrynus_perreti"
"Amietophrynus_turkanae",0.0749330452413477,"Amietophrynus_turkanae"
"Amietophrynus_maculatus",0.0726617396103058,"Amietophrynus_maculatus"
"Amietophrynus_tuberosus",0.0714379162371381,"Amietophrynus_tuberosus"
"Amietophrynus_mauritanicus",0.0754463759908133,"Amietophrynus_mauritanicus"
"Amietophrynus_langanoensis",0.0691316308542086,"Amietophrynus_langanoensis"
"Vandijkophrynus_robinsoni",0.0737668423743167,"Vandijkophrynus_robinsoni"
"Vandijkophrynus_gariepensis",0.0699994035384218,"Vandijkophrynus_gariepensis"
"Vandijkophrynus_angusticeps",0.0818637291112007,"Vandijkophrynus_angusticeps"
"Vandijkophrynus_inyangae",0.0782300111861884,"Vandijkophrynus_inyangae"
"Vandijkophrynus_amatolicus",0.078253917231906,"Vandijkophrynus_amatolicus"
"Bufoides_meghalayanus",0.074208525023932,"Bufoides_meghalayanus"
"Andinophryne_olallai",0.0668168470215134,"Andinophryne_olallai"
"Andinophryne_atelopoides",0.0667168574666725,"Andinophryne_atelopoides"
"Andinophryne_colomai",0.0652969442365227,"Andinophryne_colomai"
"Mertensophryne_usambarae",0.0852932004249232,"Mertensophryne_usambarae"
"Mertensophryne_lindneri",0.0814057074261353,"Mertensophryne_lindneri"
"Mertensophryne_nyikae",0.080673587148791,"Mertensophryne_nyikae"
"Mertensophryne_howelli",0.081537873545065,"Mertensophryne_howelli"
"Mertensophryne_loveridgei",0.0875374892332003,"Mertensophryne_loveridgei"
"Mertensophryne_anotis",0.0852686759600473,"Mertensophryne_anotis"
"Mertensophryne_melanopleura",0.0825091151663848,"Mertensophryne_melanopleura"
"Mertensophryne_micranotis",0.0851042022014854,"Mertensophryne_micranotis"
"Mertensophryne_schmidti",0.0751421027092993,"Mertensophryne_schmidti"
"Mertensophryne_lonnbergi",0.0773802672809618,"Mertensophryne_lonnbergi"
"Mertensophryne_taitana",0.0795690334703952,"Mertensophryne_taitana"
"Mertensophryne_uzunguensis",0.0803437004262185,"Mertensophryne_uzunguensis"
"Mertensophryne_nairobiensis",0.0814882928793657,"Mertensophryne_nairobiensis"
"Mertensophryne_mocquardi",0.077349222102841,"Mertensophryne_mocquardi"
"Poyntonophrynus_vertebralis",0.0804363324493305,"Poyntonophrynus_vertebralis"
"Poyntonophrynus_lughensis",0.0891623915598251,"Poyntonophrynus_lughensis"
"Poyntonophrynus_fenoulheti",0.0886194121337241,"Poyntonophrynus_fenoulheti"
"Poyntonophrynus_kavangensis",0.0831876486369429,"Poyntonophrynus_kavangensis"
"Poyntonophrynus_beiranus",0.0803662272900332,"Poyntonophrynus_beiranus"
"Poyntonophrynus_grandisonae",0.0846860418647297,"Poyntonophrynus_grandisonae"
"Poyntonophrynus_dombensis",0.0816664876971948,"Poyntonophrynus_dombensis"
"Poyntonophrynus_damaranus",0.0792705976982407,"Poyntonophrynus_damaranus"
"Poyntonophrynus_hoeschi",0.0775067826285845,"Poyntonophrynus_hoeschi"
"Poyntonophrynus_parkeri",0.0765425065367926,"Poyntonophrynus_parkeri"
"Capensibufo_tradouwi",0.0774533428724854,"Capensibufo_tradouwi"
"Capensibufo_rosei",0.0758533692284159,"Capensibufo_rosei"
"Rhinella_schneideri",0.154795561208242,"Rhinella_schneideri"
"Rhinella_cerradensis",0.159998624165213,"Rhinella_cerradensis"
"Rhinella_jimi",0.166784128339906,"Rhinella_jimi"
"Rhinella_marina",0.162686829164554,"Rhinella_marina"
"Rhinella_poeppigii",0.161890857270452,"Rhinella_poeppigii"
"Rhinella_nattereri",0.151709169091824,"Rhinella_nattereri"
"Rhinella_bernardoi",0.156811147620217,"Rhinella_bernardoi"
"Rhinella_achalensis",0.160051395376124,"Rhinella_achalensis"
"Rhinella_truebae",0.153074900815505,"Rhinella_truebae"
"Rhinella_veredas",0.149658378127374,"Rhinella_veredas"
"Rhinella_achavali",0.142668584547571,"Rhinella_achavali"
"Rhinella_icterica",0.141723214155729,"Rhinella_icterica"
"Rhinella_rubescens",0.152177906905042,"Rhinella_rubescens"
"Rhinella_inca",0.149892318191683,"Rhinella_inca"
"Rhinella_gnustae",0.14986619367046,"Rhinella_gnustae"
"Rhinella_arenarum",0.147722267147001,"Rhinella_arenarum"
"Rhinella_paraguayensis",0.148229410310442,"Rhinella_paraguayensis"
"Rhinella_stanlaii",0.140324052291826,"Rhinella_stanlaii"
"Rhinella_rumbolli",0.138683423238236,"Rhinella_rumbolli"
"Rhinella_acutirostris",0.139691701069277,"Rhinella_acutirostris"
"Rhinella_nicefori",0.141209998763174,"Rhinella_nicefori"
"Rhinella_pygmaea",0.136850674102486,"Rhinella_pygmaea"
"Rhinella_henseli",0.138315382571621,"Rhinella_henseli"
"Rhinella_abei",0.1526299203759,"Rhinella_abei"
"Rhinella_ornata",0.150078723291667,"Rhinella_ornata"
"Rhinella_pombali",0.162090491926748,"Rhinella_pombali"
"Rhinella_crucifer",0.147387722673566,"Rhinella_crucifer"
"Rhinella_roqueana",0.150151137624215,"Rhinella_roqueana"
"Rhinella_inopina",0.148128240305357,"Rhinella_inopina"
"Rhinella_cristinae",0.133298013412326,"Rhinella_cristinae"
"Rhinella_rubropunctata",0.138871206797049,"Rhinella_rubropunctata"
"Rhinella_scitula",0.138398070959257,"Rhinella_scitula"
"Rhinella_granulosa",0.112125235551832,"Rhinella_granulosa"
"Rhinella_acrolopha",0.116114673109441,"Rhinella_acrolopha"
"Rhinella_mirandaribeiroi",0.117031238894321,"Rhinella_mirandaribeiroi"
"Rhinella_major",0.109750378507502,"Rhinella_major"
"Rhinella_humboldti",0.1094852215285,"Rhinella_humboldti"
"Rhinella_centralis",0.113741583643894,"Rhinella_centralis"
"Rhinella_merianae",0.116133065572785,"Rhinella_merianae"
"Rhinella_rostrata",0.112707472212571,"Rhinella_rostrata"
"Rhinella_fernandezae",0.121464394098007,"Rhinella_fernandezae"
"Rhinella_macrorhina",0.120243927375655,"Rhinella_macrorhina"
"Rhinella_multiverrucosa",0.117788009429435,"Rhinella_multiverrucosa"
"Rhinella_magnussoni",0.11558940883935,"Rhinella_magnussoni"
"Rhinella_festae",0.119513568168,"Rhinella_festae"
"Rhinella_ruizi",0.117527882176645,"Rhinella_ruizi"
"Rhinella_sclerocephala",0.118387280037918,"Rhinella_sclerocephala"
"Rhinella_chrysophora",0.119154907455561,"Rhinella_chrysophora"
"Rhinella_dorbignyi",0.127401007605148,"Rhinella_dorbignyi"
"Rhinella_chavin",0.12270830248516,"Rhinella_chavin"
"Rhinella_justinianoi",0.122003792547888,"Rhinella_justinianoi"
"Rhinella_yanachaga",0.121192353957425,"Rhinella_yanachaga"
"Rhinella_tenrec",0.119360955855869,"Rhinella_tenrec"
"Rhinella_proboscidea",0.107594136102697,"Rhinella_proboscidea"
"Rhinella_lindae",0.105197395443239,"Rhinella_lindae"
"Rhinella_manu",0.102240233291785,"Rhinella_manu"
"Rhinella_arborescandens",0.105234431454613,"Rhinella_arborescandens"
"Rhinella_nesiotes",0.107262310129315,"Rhinella_nesiotes"
"Rhinella_iserni",0.111433638427771,"Rhinella_iserni"
"Rhinella_gallardoi",0.105191267635382,"Rhinella_gallardoi"
"Rhinella_alata",0.109982351647508,"Rhinella_alata"
"Rhinella_tacana",0.125107057978939,"Rhinella_tacana"
"Rhinella_lescurei",0.131882118134658,"Rhinella_lescurei"
"Rhinella_martyi",0.12119631851711,"Rhinella_martyi"
"Rhinella_dapsilis",0.123180767060638,"Rhinella_dapsilis"
"Rhinella_hoogmoedi",0.115187632560398,"Rhinella_hoogmoedi"
"Rhinella_margaritifera",0.119470016653947,"Rhinella_margaritifera"
"Rhinella_castaneotica",0.119075158120766,"Rhinella_castaneotica"
"Rhinella_ocellata",0.114529052740909,"Rhinella_ocellata"
"Rhinella_yunga",0.107206539546011,"Rhinella_yunga"
"Rhinella_amboroensis",0.102989830511735,"Rhinella_amboroensis"
"Rhinella_veraguensis",0.10863136332871,"Rhinella_veraguensis"
"Rhinella_diptycha",0.108501401271528,"Rhinella_diptycha"
"Rhinella_spinulosa",0.0904215664765004,"Rhinella_spinulosa"
"Rhinella_arequipensis",0.0916275702375448,"Rhinella_arequipensis"
"Rhinella_fissipes",0.0836921719341138,"Rhinella_fissipes"
"Rhinella_leptoscelis",0.086926669942558,"Rhinella_leptoscelis"
"Rhinella_vellardi",0.0927918250463601,"Rhinella_vellardi"
"Rhinella_limensis",0.0880070517269796,"Rhinella_limensis"
"Rhinella_amabilis",0.090227204891334,"Rhinella_amabilis"
"Rhinella_quechua",0.0860909014064128,"Rhinella_quechua"
"Rhinella_ceratophrys",0.090335224420397,"Rhinella_ceratophrys"
"Rhinella_atacamensis",0.0856768201805279,"Rhinella_atacamensis"
"Rhinella_bergi",0.082581183521161,"Rhinella_bergi"
"Rhinella_arunco",0.0834704031404908,"Rhinella_arunco"
"Rhinella_sternosignata",0.0905587349928729,"Rhinella_sternosignata"
"Rhinella_azarai",0.0869616243744677,"Rhinella_azarai"
"Incilius_leucomyos",0.11074478615539,"Incilius_leucomyos"
"Incilius_campbelli",0.121307693187231,"Incilius_campbelli"
"Incilius_gemmifer",0.117940254256596,"Incilius_gemmifer"
"Incilius_macrocristatus",0.112724002750494,"Incilius_macrocristatus"
"Incilius_tutelarius",0.118356294392387,"Incilius_tutelarius"
"Incilius_cristatus",0.109134319858066,"Incilius_cristatus"
"Incilius_holdridgei",0.100697250422849,"Incilius_holdridgei"
"Incilius_cavifrons",0.102229418658263,"Incilius_cavifrons"
"Incilius_spiculatus",0.104065992145361,"Incilius_spiculatus"
"Incilius_nebulifer",0.0999780094019445,"Incilius_nebulifer"
"Incilius_valliceps",0.10295942692585,"Incilius_valliceps"
"Incilius_luetkenii",0.0876041654463934,"Incilius_luetkenii"
"Incilius_mccoyi",0.088735114363348,"Incilius_mccoyi"
"Incilius_mazatlanensis",0.0917946800388678,"Incilius_mazatlanensis"
"Incilius_intermedius",0.0922187683771555,"Incilius_intermedius"
"Incilius_guanacaste",0.0887427673748103,"Incilius_guanacaste"
"Incilius_aucoinae",0.0928759520562274,"Incilius_aucoinae"
"Incilius_melanochlorus",0.0919848380421816,"Incilius_melanochlorus"
"Incilius_majordomus",0.099505557714476,"Incilius_majordomus"
"Incilius_fastidiosus",0.0926642242929498,"Incilius_fastidiosus"
"Incilius_epioticus",0.0948240072121746,"Incilius_epioticus"
"Incilius_peripatetes",0.0919980037449629,"Incilius_peripatetes"
"Incilius_karenlipsae",0.0961036450697798,"Incilius_karenlipsae"
"Incilius_coniferus",0.0913745756623269,"Incilius_coniferus"
"Incilius_chompipe",0.0938006768465265,"Incilius_chompipe"
"Incilius_cycladen",0.0985517137622847,"Incilius_cycladen"
"Incilius_signifer",0.0985211826371855,"Incilius_signifer"
"Incilius_porteri",0.100456113987141,"Incilius_porteri"
"Incilius_ibarrai",0.094105924220239,"Incilius_ibarrai"
"Incilius_aurarius",0.102256232642276,"Incilius_aurarius"
"Incilius_coccifer",0.0952290446753788,"Incilius_coccifer"
"Incilius_pisinnus",0.0942239693085496,"Incilius_pisinnus"
"Incilius_canaliferus",0.101004049807046,"Incilius_canaliferus"
"Incilius_perplexus",0.0987574875919559,"Incilius_perplexus"
"Incilius_marmoreus",0.0985549798886875,"Incilius_marmoreus"
"Incilius_alvarius",0.0883245991798363,"Incilius_alvarius"
"Incilius_occidentalis",0.0830166321073979,"Incilius_occidentalis"
"Incilius_tacanensis",0.0869506228232966,"Incilius_tacanensis"
"Incilius_bocourti",0.0831732941018861,"Incilius_bocourti"
"Incilius_periglenes",0.081663840903187,"Incilius_periglenes"
"Anaxyrus_baxteri",0.103943665983597,"Anaxyrus_baxteri"
"Anaxyrus_hemiophrys",0.0959926721938145,"Anaxyrus_hemiophrys"
"Anaxyrus_houstonensis",0.11042799383711,"Anaxyrus_houstonensis"
"Anaxyrus_woodhousii",0.104156981017307,"Anaxyrus_woodhousii"
"Anaxyrus_americanus",0.101185785277037,"Anaxyrus_americanus"
"Anaxyrus_fowleri",0.0967425942867193,"Anaxyrus_fowleri"
"Anaxyrus_terrestris",0.0999056648484573,"Anaxyrus_terrestris"
"Anaxyrus_microscaphus",0.0918301840864104,"Anaxyrus_microscaphus"
"Anaxyrus_californicus",0.0871127331853562,"Anaxyrus_californicus"
"Anaxyrus_speciosus",0.0839588552347613,"Anaxyrus_speciosus"
"Anaxyrus_kelloggi",0.0818924680595016,"Anaxyrus_kelloggi"
"Anaxyrus_debilis",0.0887700109968376,"Anaxyrus_debilis"
"Anaxyrus_retiformis",0.0839985371455893,"Anaxyrus_retiformis"
"Anaxyrus_cognatus",0.0839925046179893,"Anaxyrus_cognatus"
"Anaxyrus_quercicus",0.0808596272206218,"Anaxyrus_quercicus"
